Bill,role,alderman,billID
BB 137 Redev. Plan for 3309-13 Meramec,Primary,cohn,BB 137
BB 138 Redevelopment plan for 3900 Ray,Primary,cohn,BB 138
BB 174 4249 Michigan TIF Plan,Primary,cohn,BB 174
BB 175 4249 Michigan TIF Agreement,Primary,cohn,BB 175
BB 176 4249 Michigan TIF Note,Primary,cohn,BB 176
BB 191 Establishing a dog park,Primary,cohn,BB 191
BB 225 Earnings tax bill,Co-Sponsor,cohn,BB 225
BB 236 Establishing the Dutchtown CID,Primary,cohn,BB 236
BB 241 Prohibiting outdoor advertising signs,Co-Sponsor,cohn,BB 241
BB 243 Rezoning Scruggs School,Primary,cohn,BB 243
BB 86 Ordinance pertaining to scrap metal,Co-Sponsor,cohn,BB 86
BB 134 Redev. plan for 3900 Ray,Primary,cohn,BB 134
BB 189 Ord. Relating to Forest Park,Co-Sponsor,cohn,BB 189
BB 258 Residential and commercial bicycling,Co-Sponsor,cohn,BB 258
BB 270 Discontinuing accrual benefits under the Firemen's Retirement System,Co-Sponsor,cohn,BB 270
BB 271 Firefighters Retirement Plan,Co-Sponsor,cohn,BB 271
BB 276 Redevelopment plan for 4701-59 S. Spring,Primary,cohn,BB 276
BB 11 Firemen's Retirement System,Co-Sponsor,cohn,BB 11
BB 12 Est. Firemen's Retirement Plan,Co-Sponsor,cohn,BB 12
BB 31 Charter Amendment amending the number of aldermen,Co-Sponsor,cohn,BB 31
BB 32 5% limit at service stations for liquor,Co-Sponsor,cohn,BB 32
BB 51 Amend. abatement for 3952-58 S. Grand,Primary,cohn,BB 51
BB 51 Amend. abatement for 3952-58 S. Grand,Primary,cohn,BB 51
BB 52 Ordinance pertaining to sun screening devices applied to the winshield or windows of motor vehicles.,Co-Sponsor,cohn,BB 52
BB 52 Ordinance pertaining to sun screening devices applied to the winshield or windows of motor vehicles.,Co-Sponsor,cohn,BB 52
BB 53 Prohibiting the harassment of pedestrians and bicyclists,Co-Sponsor,cohn,BB 53
BB 53 Prohibiting the harassment of pedestrians and bicyclists,Co-Sponsor,cohn,BB 53
BB 92 An ordinance pertaining to pedestrian access to buildings.,Co-Sponsor,cohn,BB 92
BB 119 Ordinance pertaining to parking of recreational vehicles,Primary,cohn,BB 119
BB 153 Ordinance pertaining to prostitution and loitering,Co-Sponsor,cohn,BB 153
BB 161 Ordinance pertaining to solicitation on highway entrance and exit ramps,Co-Sponsor,cohn,BB 161
BB 172 Conflicts of interest,Co-Sponsor,cohn,BB 172
BB 242 Ordinance pertaining to elections,Co-Sponsor,cohn,BB 242
BB 274 Text to amend convenience stores legislation,Primary,cohn,BB 274
BB 275 Marijuana decriminalization,Primary,cohn,BB 275
BB 295 Ord. pertaining to the opening of bids,Co-Sponsor,cohn,BB 295
BB 297 City Public Works Projects,Co-Sponsor,cohn,BB 297
BB 8 Local Control,Co-Sponsor,cohn,BB 8
BB 10 Ordinance relating to fortune tellers,Primary,cohn,BB 10
BB 19 Redevelopment plan for 3931 Gustine,Primary,cohn,BB 19
BB 41 Redevelopment plan for 420 Fassen,Primary,cohn,BB 41
BB 69 Ordinance pertaining to campaign contribution limits,Co-Sponsor,cohn,BB 69
BB 88 City Hall restoration fund,Primary,cohn,BB 88
BB 93 Regulation and restriction of prophylactics,Primary,cohn,BB 93
BB 105 stop site at Meramec at 38th Street,Primary,cohn,BB 105
BB 143 Designating the Iris the Official Flower,Co-Sponsor,cohn,BB 143
BB 209 Increase in permit fees issued by the Building Division,Co-Sponsor,cohn,BB 209
BB 220 Redevelopment plan for 4318 Virginia,Primary,cohn,BB 220
BB 224 Transfer of property of the Police Department,Co-Sponsor,cohn,BB 224
BB 55 Ordinance relating to fortunetellers,Primary,cohn,BB 55
BB 55 Ordinance relating to fortunetellers,Primary,cohn,BB 55
BB 111 Redevelopment plan for 5103-05 Wicklow Place,Primary,cohn,BB 111
BB 113 Vacation for alley at Compton from Fassen south,Primary,cohn,BB 113
BB 129 Redevelopment plan for 5201-03 Virginia,Primary,cohn,BB 129
BB 151 Recorder of Deeds,Co-Sponsor,cohn,BB 151
BB 198 Ordinance amending complete streets policy,Co-Sponsor,cohn,BB 198
BB 208 Civilian Review Board,Co-Sponsor,cohn,BB 208
BB 225 Establishing the Citizen Commission on the Reduction and Reformation of the Board of Aldermen,Primary,cohn,BB 225
BB 76 Ordinance regarding Maya Angelou's birthplace,Co-Sponsor,cohn,BB 76
BB 83 Ordinance establishing a minimum wage in the City of St. Louis,Primary,cohn,BB 83
BB 83 Ordinance establishing a minimum wage in the City of St. Louis,Primary,cohn,BB 83
BB 83 Ordinance establishing a minimum wage in the City of St. Louis,Primary,cohn,BB 83
BB 97 Redevelopment plan for 4218 S. 37th St.,Primary,cohn,BB 97
BB 97 Redevelopment plan for 4218 S. 37th St.,Primary,cohn,BB 97
BB 108 Ordinance pertaining to graduated business license,Co-Sponsor,cohn,BB 108
BB 109 Ordinance pertaining to the regulation of home occupations,Co-Sponsor,cohn,BB 109
BB 113 Ordinance relating to speed bumps,Co-Sponsor,cohn,BB 113
BB 115 Ordinance pertaining to Recreation Centers,Co-Sponsor,cohn,BB 115
BB 123 Disclosure of conflicts of interest,Co-Sponsor,cohn,BB 123
BB 176 Soldiers Memorial Agreement,Co-Sponsor,cohn,BB 176
BB 207 Stadium Ordinance,Co-Sponsor,cohn,BB 207
BB 265 Earnings Tax,Co-Sponsor,cohn,BB 265
BB 36 Program for monitoring the prescribing and dispensing of controlled substances,Co-Sponsor,cohn,BB 36
BB 40 Ordinance pertaining to drug related overdoses and medical assistance,Co-Sponsor,cohn,BB 40
BB 69 Short-Term Lending Code,Co-Sponsor,cohn,BB 69
BB 70 Election Approving Permit Fees for Short-Term Loan Establishments,Co-Sponsor,cohn,BB 70
BB 109 Missouri Clean Energy District,Co-Sponsor,cohn,BB 109
BB 118 Redevelopment plan for 3858 Bamberger,Primary,cohn,BB 118
BB 151 Amending Public Nuisances Code,Co-Sponsor,cohn,BB 151
BB 192 Ordinance requiring reporting on solitary confinement,Co-Sponsor,cohn,BB 192
BB 193 Redevelopment plan for 3400 Meramec,Primary,cohn,BB 193
BB 203 Ordinance regarding pregnancy and reproductive health decisions as protected classes,Co-Sponsor,cohn,BB 203
BB 243 Redevelopment plan for 4137 Virginia,Primary,cohn,BB 243
BB 8 Dutchtown CID,Primary,cohn,BB 8
BB 14 Citizen Commission Reduction/Reformation of the Board of Aldermen,Primary,cohn,BB 14
BB 31 Ordinance to Join Clean Energy Act,Co-Sponsor,cohn,BB 31
BB 34 Buffer zone for health care facilities,Co-Sponsor,cohn,BB 34
BB 48  Excise Commissioner's discretion to revoke liquor license in the 25th Ward,Primary,cohn,BB 48
BB 130 Ordinance pertaining to Scottrade Center,Co-Sponsor,cohn,BB 130
BB 132 Establishing the Office of Community Mediation,Co-Sponsor,cohn,BB 132
BB 180 Ordinance to amend marijuana laws,Co-Sponsor,cohn,BB 180
BB 203 Ordinance establishing a public works project,Co-Sponsor,cohn,BB 203
BB 233 Ordinance amending Civilian Oversight Board Bill,Co-Sponsor,cohn,BB 233
BB 93 An Ordinance requiring a City-wide vote to approve any proposal aimed at or having the effect of privatizing the Lambert St. Louis International Airport (the â€œAirportâ€ù),Co-Sponsor,cohn,BB 93
BB 102 Designating Fourth Street between Market Street and Chestnut Street as Dred Scott Way@.,Co-Sponsor,davis,BB 102
BB 129 Vacate east/west alley at Washington/Channing/Locust/Theresa,Primary,davis,BB 129
BB 130 Vacate Vista from Carr Lane to Grand,Primary,davis,BB 130
BB 167 Gateway Mall,Co-Sponsor,davis,BB 167
"BB 185 Vacation of the east/west alley at LaSalle, Ranken, Hickory and Theresa",Primary,davis,BB 185
BB 223 street name change in Blumeyer Subdivision,Primary,davis,BB 223
BB 229 Affirming the boundaries of 1859 Grand/Cozens/Evans,Primary,davis,BB 229
BB 235 East/west alley at Park/Virginia/Vista/Compton,Primary,davis,BB 235
BB 404 Cyber Harassment,Co-Sponsor,davis,BB 404
BB 409 Street name changed to Rev Steven G. Thompson Dr.,Primary,davis,BB 409
BB 433 Rezoning of 1231 Blumeyer,Primary,davis,BB 433
BB 483 Redev. plan for 2801 Locust,Primary,davis,BB 483
BB 505 Ord. related to panhandling,Co-Sponsor,davis,BB 505
BB 505 Ord. related to panhandling,Co-Sponsor,davis,BB 505
"BB 8 vacate public surface rights for City Block 1056 as bounded by Washington, Channing, Locust and Theresa",Primary,davis,BB 8
"BB 19 vacate public surface rights for vehicle, equestrian and pedestrian travel in Josephine Baker Blvd. from Locust to Washington",Primary,davis,BB 19
BB 49 Redev. plan for Sheridan/Thomas/Webster,Primary,davis,BB 49
BB 93 Renaming Webster Avenue as Harold Brewster Place,Primary,davis,BB 93
"BB 109 	An Ordinance recommended by the Planning Commission on June 4, 2008, to change the zoning of property as indicated on the District Map, from â€œCâ€ù Multiple-Family Dwelling District to the â€œGâ€ù Local Commercial and Office District, in City Block 1858 (3115-17, 3119, 3121, 3123, 3125-27, 3133-35, 3137-4",Primary,davis,BB 109
BB 120 An ordinance authorizing and directing the Street Commissioner to take all necessary actions to honorarily designate Cook Avenue as â€œHaller â€œEdâ€ù Nutt Way.â€ù,Primary,davis,BB 120
BB 125 Amended TIF for Grand/Cozens/Evans,Primary,davis,BB 125
BB 132 Grand Center CID,Primary,davis,BB 132
BB 133 Grand Center Parking,Primary,davis,BB 133
BB 134 Grand Center TIF Note,Primary,davis,BB 134
BB 135 Vacation of Enright from Grand westwardly.,Primary,davis,BB 135
"BB 223 Vacation of the alley at MLK, Cardinal, School St./ Compton",Primary,davis,BB 223
BB 269 374 S. Grand TIF Plan,Primary,davis,BB 269
BB 270 374 S. Grand TIF Agreement,Primary,davis,BB 270
"BB 271 374 S. Grand TIF Note for 3,300,000",Primary,davis,BB 271
BB 272 374 S. Grand TIF Agreement 2,Primary,davis,BB 272
"BB 273 374 S. Grand TIF Note for 1,250,000",Primary,davis,BB 273
BB 278 Grand Center TIF,Primary,davis,BB 278
BB 286 Redevelopment plan for Westminster Place,Primary,davis,BB 286
BB 296 Air quality projects involving traffic signals,Co-Sponsor,davis,BB 296
BB 321 REO lofts TIF agreement,Primary,davis,BB 321
"BB 323 Midtown Lofts Note for 700,000",Primary,davis,BB 323
"BB 324 REO lofts redev. project note for 600,000",Primary,davis,BB 324
BB 325 Midtown Lofts approving ordinance,Primary,davis,BB 325
BB 326 REO approving ordinance,Primary,davis,BB 326
BB 327 Automobile row amendment ordinance,Primary,davis,BB 327
"BB 328 Renaming Delmar to ""Barack Obama Blvd""",Co-Sponsor,davis,BB 328
BB 381 Zoning Change for Vandeventer and Finney,Primary,davis,BB 381
"BB 8 Zoning change for Page, Prairie, Evans",Primary,davis,BB 8
BB 40 Vacation of the e/w alley at Cook/Vandeventer/Finney/Sarah,Primary,davis,BB 40
BB 41 Vacation of the e/w alley at Cass/Webster/Evans/Francis,Primary,davis,BB 41
BB 43 Public Works Bill,Co-Sponsor,davis,BB 43
BB 47 Annual HUD Action Plan,Co-Sponsor,davis,BB 47
BB 75 Ordinance pertaining to public works establishing apprenticeship training.,Co-Sponsor,davis,BB 75
BB 104 Grand Center TIF plan amendment,Primary,davis,BB 104
BB 113 Prohibiting liquor in the 19th Ward,Primary,davis,BB 113
BB 187 Vacation of Rutger from Virginia to Ranken,Primary,davis,BB 187
BB 203 Redevelopment plan for Sheridan/ Garrison/ Thomas area,Primary,davis,BB 203
BB 218 Northside TIF Agreement,Co-Sponsor,davis,BB 218
BB 219 Northside TIF Plan,Co-Sponsor,davis,BB 219
BB 224 Quit claim for Washington Metropolitan AME Zion Church for 3040 Delmar,Primary,davis,BB 224
BB 233 Grand Center Fourth Amendment,Primary,davis,BB 233
BB 234 Redev.plan for N. Vandeventer/Cook/ Jones/Page,Primary,davis,BB 234
BB 235 Redev. plan for 1201-35 N. Grand/ 3600-26 Page,Primary,davis,BB 235
BB 236 Fifth amendment to Grand Center TIF,Primary,davis,BB 236
BB 252 Ord. regarding the purchase of Parking Revenue bonds,Primary,davis,BB 252
"BB 257 Renaming 1400 Garrison as ""Pastor Lee Tyler Av.""",Primary,davis,BB 257
BB 283 Ord. pertaining to bathhouses,Co-Sponsor,davis,BB 283
BB 284 Ord. pertaining to boarding houses.,Co-Sponsor,davis,BB 284
BB 285 Ord. pertaining to tatoo parlors,Co-Sponsor,davis,BB 285
BB 288 Ordinance relating to refuse collection.,Co-Sponsor,davis,BB 288
BB 293 Ord. regarding boarding houses,Co-Sponsor,davis,BB 293
BB 309 Street vending within Midtown Neighborhood,Primary,davis,BB 309
BB 322 Registration fee for certain buildings,Co-Sponsor,davis,BB 322
BB 2 Ord. pertaining to Public Art,Co-Sponsor,davis,BB 2
BB 3 Zoning change for properties on Thomas,Primary,davis,BB 3
BB 34 Redev. plan for 701 N. Grand,Primary,davis,BB 34
BB 67 Ordinance pertaining to discrimination.,Co-Sponsor,davis,BB 67
BB 69 Vacation of Hickory from Compton & Ranken/ Virginia/ Lasalle/ Rutger,Primary,davis,BB 69
"BB 83 Redevelopment plan for Sheridan, Garrison, Thomas",Primary,davis,BB 83
BB 97 Ord. relating to present and future funding for certain services provided to the Bi-State Dev. Agency,Co-Sponsor,davis,BB 97
BB 98 Zoning change for SLU Med Rec. Complex,Primary,davis,BB 98
"BB 105 the Locust Central Business District (the ""LBD"") which was established by Ordinance No. 58728",Primary,davis,BB 105
"BB 106 An Ordinance submitting to the qualified voters in the Locust Central Business District as established by Ordinance No. 58728, approved December 23, 1982, and as amended by Ordinance No. 59248, approved September 10, 1984, and as amended by Ordinance No. 60530, approved October 30, 1987, and as amen",Primary,davis,BB 106
BB 152 Hope for the Homeless Fund,Co-Sponsor,davis,BB 152
BB 155 Ord. pertaining to Grand Center Redevelopment area,Primary,davis,BB 155
BB 156 Renaming Park as Dr. Amanda Murphy Avenue,Primary,davis,BB 156
BB 177 Redevelopment plan for Dr. Samuel Shepard/ Delmar/ Franklin/ N. Cardinal,Primary,davis,BB 177
BB 225 Earnings tax bill,Co-Sponsor,davis,BB 225
"BB 258 Redev. plan for N. Sarah, W. Bell, CD Banks, Finney",Co-Sponsor,davis,BB 258
BB 262 Zoning change for 4061 Finney,Primary,davis,BB 262
BB 273 Grand Center Seventh TIF,Primary,davis,BB 273
BB 274 Ord. approv. Tif,Primary,davis,BB 274
BB 62 Amending tax abatement for 3100-42 Franklin,Primary,davis,BB 62
BB 82 Closing Brantner at Francis,Primary,davis,BB 82
BB 97 Amend. to agrmt with Council Towers Senior Apts,Primary,davis,BB 97
BB 105 2125 S. Grand CID,Primary,davis,BB 105
BB 118 Redev. plan for 212 N. Grand,Primary,davis,BB 118
BB 136 Vacation of alley at Washington/Rev. TE Huntly/Locust/Garrison,Primary,davis,BB 136
BB 137 Vacation of alley at Josephine Baker/Washington/Leonard,Primary,davis,BB 137
BB 138 Vacation of Hickory from Carr Lane to Rankin,Primary,davis,BB 138
BB 142 Redev. plan for 2900-38 & 3000-3036 Washington,Primary,davis,BB 142
BB 149 Rezoning 1618 Tower Grove,Primary,davis,BB 149
BB 150 Rezoning 4260 McKree,Primary,davis,BB 150
BB 158 Prohib. liquor in 19th Ward,Primary,davis,BB 158
BB 170 Est. Grand Center CID,Primary,davis,BB 170
BB 189 Ord. Relating to Forest Park,Co-Sponsor,davis,BB 189
BB 215 Zoning change for 2219-33 Delmar,Primary,davis,BB 215
BB 250 Vacation of the alley bounded by Olive/ 8th/ Pine and 19th Streets,Primary,davis,BB 250
BB 288 2727 Washington TIF plan,Primary,davis,BB 288
BB 289 2727 Washington TIF Agrmt,Primary,davis,BB 289
BB 290 2727 Washington TIF Note,Primary,davis,BB 290
BB 300 Vacation of 3651 Olive,Primary,davis,BB 300
BB 18 Vacation of LaSalle from Compton to Virginia,Primary,davis,BB 18
BB 31 Charter Amendment amending the number of aldermen,Co-Sponsor,davis,BB 31
BB 36 Third Amendment to the Adler Lofts TIF,Primary,davis,BB 36
BB 93 Grand Center TIF,Primary,davis,BB 93
BB 103 Vacation of Compton at Chouteau,Primary,davis,BB 103
BB 103 Vacation of Compton at Chouteau,Primary,davis,BB 103
BB 108 Ordinance relating to City Recreation Facility in O'Fallon Park,Co-Sponsor,davis,BB 108
BB 108 Ordinance relating to City Recreation Facility in O'Fallon Park,Co-Sponsor,davis,BB 108
BB 161 Ordinance pertaining to solicitation on highway entrance and exit ramps,Co-Sponsor,davis,BB 161
BB 162 Grand Center CID,Primary,davis,BB 162
BB 174 Vacation of 1057 & 3411 Olive,Primary,davis,BB 174
BB 206 Liquor moratorium in the 19th Ward,Primary,davis,BB 206
BB 224 Establishment of the Botanical Heights West Special Business District,Co-Sponsor,davis,BB 224
BB 225 Ordinance for voters in Botanical Heights West Special Business District,Co-Sponsor,davis,BB 225
BB 239 Vacation of Virginia between Caroline and Rutger,Primary,davis,BB 239
BB 275 Marijuana decriminalization,Co-Sponsor,davis,BB 275
BB 297 City Public Works Projects,Co-Sponsor,davis,BB 297
BB 8 Local Control,Co-Sponsor,davis,BB 8
BB 36 Redevelopment plan for 3619-25 Grandel Square,Primary,davis,BB 36
BB 48 Redevelopment plan for Shepard Apartments Redevelopment Area,Primary,davis,BB 48
BB 58 Vacation of Papin from Grand eastward,Primary,davis,BB 58
BB 59 Vacation of alley at Rutger/ Compton/ Caroline/ Virginia,Primary,davis,BB 59
BB 82 Vacation of the alley at Samuel Shepard Compton,Primary,davis,BB 82
BB 117 Ordinance pertaining to wearing pants below the waist in public.,Primary,davis,BB 117
BB 119 Amending Redevelopment Agreement with Grand Center,Primary,davis,BB 119
BB 126 Ordinance prohibiting liquor in 19th Ward,Primary,davis,BB 126
BB 149 Agreement with National Association of County and City Health Officials,Co-Sponsor,davis,BB 149
"BB 192 Grant for Navigator Project Services for 64,936.00",Co-Sponsor,davis,BB 192
BB 210 Establish a CID for Sweetie Pies,Primary,davis,BB 210
BB 214 Redevelopment plan for 2905-2937 Olive,Primary,davis,BB 214
BB 224 Transfer of property of the Police Department,Co-Sponsor,davis,BB 224
BB 291 Quit claim for 4301 McRee to Lunar Tool Bldg,Primary,davis,BB 291
"BB 322 Vacation of east west alley bounded by Delmar, 21st, Lucas and 22nd Street - Edge Lofts",Primary,davis,BB 322
BB 328 Festival Reservation Agreement,Co-Sponsor,davis,BB 328
BB 14 Redevelopment plan for 1900 Washington,Primary,davis,BB 14
BB 45 Redevelopment plan for 2701 Delmar,Primary,davis,BB 45
BB 51 5th Supplemental Indenture for 634 N. Grand,Primary,davis,BB 51
BB 54 Redevelopment plan for 2600 Dr. Samuel T. Shepard Drive,Primary,davis,BB 54
BB 54 Redevelopment plan for 2600 Dr. Samuel T. Shepard Drive,Primary,davis,BB 54
